metric_id,metric_name,period,observed_value,expected_value,variation,method,severity,explanation,source,review_status
COMPLIANCE,Cumplimiento,2026-06,0.832,0.798950354609929,0.0413663317118205,robust_z_score,high,Cumplimiento se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
EXPENSES,Gastos,2026-06,802088.58,794790.045,0.009182972340827338,"month_over_month_threshold, budget_variance",medium,Gastos se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2026-06,0.7821680670089547,0.7253243275681001,0.07837009911337577,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
INVOICES,Facturas,2026-06,20.0,29.0,-0.3103448275862069,month_over_month_threshold,medium,Facturas se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
NET_SALES,Ventas netas,2026-06,509747.99,767468.365,-0.33580586087089076,"month_over_month_threshold, budget_variance",medium,Ventas netas se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
PAYMENTS,Pagos,2026-06,211434.39,119963.45999999999,0.762489928183132,month_over_month_threshold,medium,Pagos se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
COMPLIANCE,Cumplimiento,2026-05,0.85,0.790714646606411,0.07497692580759678,robust_z_score,critical,Cumplimiento se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
EXPENSES,Gastos,2026-05,1151549.9600000002,794790.045,0.4488731549223168,"robust_z_score, month_over_month_threshold, budget_variance",critical,Gastos se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
INVOICES,Facturas,2026-05,45.0,29.0,0.5517241379310345,"robust_z_score, month_over_month_threshold",high,Facturas se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2026-05,0.6950161309305812,0.7253243275681001,-0.04178571638309376,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
PAYMENTS,Pagos,2026-05,81016.6,119963.45999999999,-0.3246560244261043,"month_over_month_threshold, catalog_range",medium,Pagos se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
COMPLIANCE,Cumplimiento,2026-04,0.7540106951871658,0.790714646606411,-0.046418706896060695,robust_z_score,high,Cumplimiento se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2026-04,0.7393654662505541,0.7585604442259581,-0.02530448050845937,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
PAYMENTS,Pagos,2026-04,149480.36,119963.45999999999,0.24604908861414965,month_over_month_threshold,medium,Pagos se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2026-03,0.846304062933568,0.7012997984794127,0.20676501657145704,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
INVOICES,Facturas,2026-03,31.0,27.0,0.14814814814814814,month_over_month_threshold,medium,Facturas se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
PAYMENTS,Pagos,2026-03,88683.39,136049.815,-0.34815501219167405,"month_over_month_threshold, catalog_range",medium,Pagos se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2026-02,0.6913164080731792,0.7033298775108149,-0.017080846160201658,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
NET_SALES,Ventas netas,2026-02,677302.44,850064.925,-0.20323445882677738,month_over_month_threshold,medium,Ventas netas se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
NET_SALES,Ventas netas,2026-01,999177.49,827144.9850000001,0.20798349517890127,"robust_z_score, budget_variance",high,Ventas netas se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2026-01,0.8058376995662703,0.68194418287873,0.18167691696487742,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
INVOICES,Facturas,2026-01,21.0,29.5,-0.288135593220339,month_over_month_threshold,medium,Facturas se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
PAYMENTS,Pagos,2026-01,118905.3,146210.305,-0.1867515767783946,month_over_month_threshold,medium,Pagos se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
EXPENSES,Gastos,2025-12,819820.3899999999,795389.06,0.03071620069805818,budget_variance,medium,Gastos se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2025-12,0.7112831888856461,0.68194418287873,0.04302259150164703,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
NET_SALES,Ventas netas,2025-12,868262.4300000002,803213.4550000001,0.08098591301611112,budget_variance,medium,Ventas netas se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
PAYMENTS,Pagos,2025-12,162299.3,142803.71500000003,0.13652015285456656,month_over_month_threshold,medium,Pagos se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2025-11,0.6600958351640529,0.68194418287873,-0.03203832258301179,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
PAYMENTS,Pagos,2025-11,90512.51,142803.71500000003,-0.36617538276227635,"month_over_month_threshold, catalog_range",medium,Pagos se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2025-10,0.8167544538952726,0.68194418287873,0.19768519829212444,"month_over_month_threshold, catalog_range",medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
ORDERS,Órdenes,2025-09,47.0,48.5,-0.030927835051546393,month_over_month_threshold,medium,Órdenes se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
PAYMENTS,Pagos,2025-09,184157.99000000005,112748.41,0.633353321789638,month_over_month_threshold,medium,Pagos se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
EXPENSES,Gastos,2025-08,826988.5500000002,623841.105,0.3256397235959631,month_over_month_threshold,medium,Gastos se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2025-08,0.6953765661359836,0.7177068967274052,-0.031113440170692543,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
INVOICES,Facturas,2025-08,27.0,27.5,-0.01818181818181818,month_over_month_threshold,medium,Facturas se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
NET_SALES,Ventas netas,2025-08,831867.42,628509.71,0.3235553990088715,month_over_month_threshold,medium,Ventas netas se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
ORDERS,Órdenes,2025-08,37.0,50.0,-0.26,"month_over_month_threshold, catalog_range",medium,Órdenes se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2025-07,0.6685117996214766,0.7704286903210064,-0.13228594934213206,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
INVOICES,Facturas,2025-07,38.0,27.5,0.38181818181818183,month_over_month_threshold,medium,Facturas se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2025-06,0.8441876072238351,0.7704286903210064,0.09573750021185792,"month_over_month_threshold, catalog_range",medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
PAYMENTS,Pagos,2025-06,144264.83000000002,108647.12,0.32782930647402364,month_over_month_threshold,medium,Pagos se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2025-05,0.6500016771452573,0.7704286903210064,-0.1563116933321526,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
INVOICES,Facturas,2025-05,27.0,31.5,-0.14285714285714285,month_over_month_threshold,medium,Facturas se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
PAYMENTS,Pagos,2025-05,94003.2,108647.12,-0.13478424462608857,catalog_range,medium,Pagos se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
CYCLE_TIME,Tiempo de ciclo,2025-04,7.352785145888594,7.752645502645503,-0.051577278571612865,robust_z_score,high,Tiempo de ciclo se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2025-04,0.8503684069238557,0.7305585223198368,0.16399765514139947,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
INVOICES,Facturas,2025-04,36.0,29.5,0.22033898305084745,month_over_month_threshold,medium,Facturas se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
ORDERS,Órdenes,2025-04,54.0,54.5,-0.009174311926605505,month_over_month_threshold,medium,Órdenes se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2025-03,0.7026709939552555,0.7656643731433146,-0.08227283571971586,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
PAYMENTS,Pagos,2025-03,99995.33,129156.34000000001,-0.22578070886802776,catalog_range,medium,Pagos se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
SUPPLIERS,Proveedores activos,2025-03,5.0,5.0,0.0,month_over_month_threshold,medium,Proveedores activos se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2025-02,0.7327427994995549,0.785529037060975,-0.06719832758686764,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2025-01,0.8081145811424578,0.7732252128874681,0.0451218709290424,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
PAYMENTS,Pagos,2025-01,114296.99,134548.20500000002,-0.15051271029591223,month_over_month_threshold,medium,Pagos se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2024-12,0.8584525562628941,0.7724721273348756,0.11130554214902434,"month_over_month_threshold, catalog_range",medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
NET_SALES,Ventas netas,2024-12,724557.9099999999,686981.8,0.0546973879075106,budget_variance,medium,Ventas netas se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
PAYMENTS,Pagos,2024-12,154870.74000000002,132945.42,0.16491970915583257,month_over_month_threshold,medium,Pagos se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2024-11,0.6130059432442866,0.7732252128874681,-0.2072090601454549,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
INVOICES,Facturas,2024-11,32.0,25.0,0.28,month_over_month_threshold,medium,Facturas se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
PAYMENTS,Pagos,2024-11,84871.16999999998,134548.20500000002,-0.36921365840592246,"month_over_month_threshold, catalog_range",medium,Pagos se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2024-10,0.7283742451401186,0.7739782984400606,-0.05892161755937621,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
INVOICES,Facturas,2024-10,20.0,28.0,-0.2857142857142857,month_over_month_threshold,medium,Facturas se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2024-09,0.7985859467870744,,0.033805516766403976,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
INVOICES,Facturas,2024-09,31.0,,0.40909090909090917,month_over_month_threshold,medium,Facturas se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2024-08,0.7724721273348756,,-0.00194601206289724,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
GROSS_MARGIN,Margen bruto,2024-07,0.7739782984400606,,,catalog_range,medium,Margen bruto se apartó del patrón histórico o del rango gobernado; revisar las fuentes antes de atribuir una causa.,vw_metric_monitoring,open
